,date,PFE,isPartial
20,2013-08-21,17.15,False
21,2013-08-22,24.849999999999998,False
22,2013-08-23,20.299999999999997,False
23,2013-08-24,9.1,False
24,2013-08-25,10.149999999999999,False
25,2013-08-26,18.2,False
26,2013-08-27,25.2,False
27,2013-08-28,17.849999999999998,False
28,2013-08-29,28.7,False
29,2013-08-30,25.549999999999997,False
30,2013-08-31,10.149999999999999,False
0,2013-09-01,9.36,False
1,2013-09-02,22.62,False
2,2013-09-03,26.91,False
3,2013-09-04,23.79,False
4,2013-09-05,23.79,False
5,2013-09-06,29.64,False
6,2013-09-07,3.5100000000000002,False
7,2013-09-08,11.700000000000001,False
8,2013-09-09,30.03,False
9,2013-09-10,34.71,False
10,2013-09-11,21.45,False
11,2013-09-12,34.32,False
12,2013-09-13,25.35,False
13,2013-09-14,9.75,False
14,2013-09-15,10.92,False
15,2013-09-16,29.25,False
16,2013-09-17,30.42,False
17,2013-09-18,31.98,False
18,2013-09-19,28.470000000000002,False
19,2013-09-20,32.76,False
20,2013-09-21,17.55,False
21,2013-09-22,13.26,False
22,2013-09-23,32.76,False
23,2013-09-24,24.96,False
24,2013-09-25,26.52,False
25,2013-09-26,39.0,False
26,2013-09-27,28.080000000000002,False
27,2013-09-28,15.600000000000001,False
28,2013-09-29,17.94,False
29,2013-09-30,37.83,False
0,2013-10-01,40.5,False
1,2013-10-02,22.5,False
2,2013-10-03,32.4,False
3,2013-10-04,29.7,False
4,2013-10-05,12.6,False
5,2013-10-06,8.1,False
6,2013-10-07,21.150000000000002,False
7,2013-10-08,25.650000000000002,False
8,2013-10-09,33.300000000000004,False
9,2013-10-10,27.45,False
10,2013-10-11,38.7,False
11,2013-10-12,11.700000000000001,False
12,2013-10-13,12.6,False
13,2013-10-14,33.75,False
14,2013-10-15,26.1,False
15,2013-10-16,30.6,False
16,2013-10-17,33.75,False
17,2013-10-18,45.0,False
18,2013-10-19,17.1,False
19,2013-10-20,16.650000000000002,False
20,2013-10-21,30.150000000000002,False
21,2013-10-22,44.550000000000004,False
22,2013-10-23,38.25,False
23,2013-10-24,29.25,False
24,2013-10-25,33.300000000000004,False
25,2013-10-26,16.650000000000002,False
26,2013-10-27,9.450000000000001,False
27,2013-10-28,33.300000000000004,False
28,2013-10-29,34.65,False
29,2013-10-30,38.25,False
30,2013-10-31,30.150000000000002,False
0,2013-11-01,34.2,False
1,2013-11-02,11.4,False
2,2013-11-03,14.44,False
3,2013-11-04,38.0,False
4,2013-11-05,19.76,False
5,2013-11-06,19.76,False
6,2013-11-07,31.92,False
7,2013-11-08,22.8,False
8,2013-11-09,11.4,False
9,2013-11-10,9.88,False
10,2013-11-11,19.76,False
11,2013-11-12,25.46,False
12,2013-11-13,27.740000000000002,False
13,2013-11-14,30.78,False
14,2013-11-15,12.92,False
15,2013-11-16,19.0,False
16,2013-11-17,16.34,False
17,2013-11-18,25.080000000000002,False
18,2013-11-19,33.82,False
19,2013-11-20,22.42,False
20,2013-11-21,24.32,False
21,2013-11-22,28.12,False
22,2013-11-23,8.74,False
23,2013-11-24,9.88,False
24,2013-11-25,28.5,False
25,2013-11-26,30.4,False
26,2013-11-27,29.26,False
27,2013-11-28,22.04,False
28,2013-11-29,29.26,False
29,2013-11-30,14.44,False
0,2013-12-01,13.649999999999999,False
1,2013-12-02,22.4,False
2,2013-12-03,32.55,False
3,2013-12-04,29.749999999999996,False
4,2013-12-05,28.349999999999998,False
5,2013-12-06,33.25,False
6,2013-12-07,18.9,False
7,2013-12-08,8.049999999999999,False
8,2013-12-09,23.799999999999997,False
9,2013-12-10,29.749999999999996,False
10,2013-12-11,28.0,False
11,2013-12-12,26.599999999999998,False
12,2013-12-13,30.099999999999998,False
13,2013-12-14,8.399999999999999,False
14,2013-12-15,14.35,False
15,2013-12-16,29.4,False
16,2013-12-17,26.95,False
17,2013-12-18,22.75,False
18,2013-12-19,35.0,False
19,2013-12-20,17.849999999999998,False
20,2013-12-21,12.25,False
21,2013-12-22,15.049999999999999,False
22,2013-12-23,24.5,False
