,date,KO,isPartial
11,2013-06-12,36.9,False
12,2013-06-13,36.0,False
13,2013-06-14,37.800000000000004,False
14,2013-06-15,43.2,False
15,2013-06-16,44.1,False
16,2013-06-17,37.800000000000004,False
17,2013-06-18,37.800000000000004,False
18,2013-06-19,36.9,False
19,2013-06-20,36.9,False
20,2013-06-21,38.7,False
21,2013-06-22,43.65,False
22,2013-06-23,43.2,False
23,2013-06-24,36.0,False
24,2013-06-25,36.45,False
25,2013-06-26,35.550000000000004,False
26,2013-06-27,38.25,False
27,2013-06-28,38.25,False
28,2013-06-29,45.0,False
29,2013-06-30,43.65,False
0,2013-07-01,31.740000000000002,False
1,2013-07-02,31.740000000000002,False
2,2013-07-03,32.660000000000004,False
3,2013-07-04,34.04,False
4,2013-07-05,33.58,False
5,2013-07-06,38.18,False
6,2013-07-07,46.0,False
7,2013-07-08,35.42,False
8,2013-07-09,33.120000000000005,False
9,2013-07-10,31.28,False
10,2013-07-11,32.2,False
11,2013-07-12,34.5,False
12,2013-07-13,36.800000000000004,False
13,2013-07-14,35.88,False
14,2013-07-15,31.28,False
15,2013-07-16,32.660000000000004,False
16,2013-07-17,32.2,False
17,2013-07-18,32.660000000000004,False
18,2013-07-19,32.660000000000004,False
19,2013-07-20,37.72,False
20,2013-07-21,40.02,False
21,2013-07-22,33.120000000000005,False
22,2013-07-23,32.2,False
23,2013-07-24,32.660000000000004,False
24,2013-07-25,33.120000000000005,False
25,2013-07-26,32.2,False
26,2013-07-27,39.56,False
27,2013-07-28,37.260000000000005,False
28,2013-07-29,31.740000000000002,False
29,2013-07-30,34.5,False
30,2013-07-31,34.04,False
0,2013-08-01,37.92,False
1,2013-08-02,40.8,False
2,2013-08-03,45.6,False
3,2013-08-04,46.559999999999995,False
4,2013-08-05,38.879999999999995,False
5,2013-08-06,39.36,False
6,2013-08-07,40.8,False
7,2013-08-08,38.4,False
8,2013-08-09,41.76,False
9,2013-08-10,46.08,False
10,2013-08-11,48.0,False
11,2013-08-12,42.239999999999995,False
12,2013-08-13,41.76,False
13,2013-08-14,41.76,False
14,2013-08-15,44.64,False
15,2013-08-16,43.68,False
16,2013-08-17,48.0,False
17,2013-08-18,47.519999999999996,False
18,2013-08-19,40.8,False
19,2013-08-20,39.36,False
20,2013-08-21,39.839999999999996,False
21,2013-08-22,43.199999999999996,False
22,2013-08-23,42.72,False
23,2013-08-24,48.0,False
24,2013-08-25,47.04,False
25,2013-08-26,41.28,False
