,date,DIS,isPartial
2,2013-05-03,66.42999999999999,False
3,2013-05-04,56.21,False
4,2013-05-05,60.589999999999996,False
5,2013-05-06,69.35,False
6,2013-05-07,68.62,False
7,2013-05-08,67.16,False
8,2013-05-09,67.16,False
9,2013-05-10,68.62,False
10,2013-05-11,65.7,False
11,2013-05-12,72.27,False
12,2013-05-13,64.97,False
13,2013-05-14,65.7,False
14,2013-05-15,66.42999999999999,False
15,2013-05-16,67.89,False
16,2013-05-17,66.42999999999999,False
17,2013-05-18,59.86,False
18,2013-05-19,63.51,False
19,2013-05-20,66.42999999999999,False
20,2013-05-21,64.97,False
21,2013-05-22,66.42999999999999,False
22,2013-05-23,65.7,False
23,2013-05-24,64.97,False
24,2013-05-25,62.78,False
25,2013-05-26,61.32,False
26,2013-05-27,59.86,False
27,2013-05-28,64.97,False
28,2013-05-29,64.97,False
29,2013-05-30,68.62,False
30,2013-05-31,67.16,False
0,2013-06-01,50.37,False
1,2013-06-02,57.959999999999994,False
2,2013-06-03,60.72,False
3,2013-06-04,55.88999999999999,False
4,2013-06-05,67.61999999999999,False
5,2013-06-06,61.41,False
6,2013-06-07,57.959999999999994,False
7,2013-06-08,60.029999999999994,False
8,2013-06-09,62.099999999999994,False
9,2013-06-10,62.099999999999994,False
10,2013-06-11,68.30999999999999,False
11,2013-06-12,66.24,False
12,2013-06-13,68.30999999999999,False
13,2013-06-14,62.099999999999994,False
14,2013-06-15,64.17,False
15,2013-06-16,62.099999999999994,False
16,2013-06-17,66.24,False
17,2013-06-18,62.78999999999999,False
18,2013-06-19,57.269999999999996,False
19,2013-06-20,69.0,False
20,2013-06-21,60.72,False
21,2013-06-22,57.269999999999996,False
22,2013-06-23,63.48,False
23,2013-06-24,66.24,False
24,2013-06-25,60.72,False
25,2013-06-26,60.72,False
26,2013-06-27,66.92999999999999,False
27,2013-06-28,57.269999999999996,False
28,2013-06-29,59.339999999999996,False
29,2013-06-30,57.959999999999994,False
0,2013-07-01,62.3,False
1,2013-07-02,60.9,False
2,2013-07-03,60.199999999999996,False
3,2013-07-04,63.699999999999996,False
4,2013-07-05,60.9,False
5,2013-07-06,59.49999999999999,False
6,2013-07-07,60.199999999999996,False
7,2013-07-08,64.39999999999999,False
8,2013-07-09,65.1,False
9,2013-07-10,60.9,False
10,2013-07-11,63.699999999999996,False
11,2013-07-12,63.699999999999996,False
12,2013-07-13,65.1,False
13,2013-07-14,67.89999999999999,False
14,2013-07-15,64.39999999999999,False
15,2013-07-16,70.0,False
16,2013-07-17,64.39999999999999,False
17,2013-07-18,62.3,False
18,2013-07-19,60.199999999999996,False
19,2013-07-20,58.8,False
20,2013-07-21,57.4,False
21,2013-07-22,62.3,False
22,2013-07-23,58.099999999999994,False
23,2013-07-24,65.8,False
24,2013-07-25,62.99999999999999,False
25,2013-07-26,61.599999999999994,False
26,2013-07-27,63.699999999999996,False
27,2013-07-28,62.99999999999999,False
28,2013-07-29,60.9,False
29,2013-07-30,60.9,False
30,2013-07-31,62.3,False
0,2013-08-01,52.36000000000001,False
1,2013-08-02,53.040000000000006,False
2,2013-08-03,55.080000000000005,False
3,2013-08-04,53.040000000000006,False
4,2013-08-05,55.080000000000005,False
5,2013-08-06,60.52,False
6,2013-08-07,60.52,False
7,2013-08-08,55.080000000000005,False
8,2013-08-09,55.080000000000005,False
9,2013-08-10,59.160000000000004,False
10,2013-08-11,62.56,False
11,2013-08-12,61.2,False
12,2013-08-13,61.88,False
13,2013-08-14,59.84,False
14,2013-08-15,68.0,False
15,2013-08-16,57.120000000000005,False
16,2013-08-17,53.040000000000006,False
17,2013-08-18,57.120000000000005,False
18,2013-08-19,59.84,False
19,2013-08-20,56.440000000000005,False
20,2013-08-21,55.760000000000005,False
21,2013-08-22,57.800000000000004,False
22,2013-08-23,55.080000000000005,False
23,2013-08-24,55.760000000000005,False
24,2013-08-25,55.760000000000005,False
25,2013-08-26,61.2,False
26,2013-08-27,52.36000000000001,False
27,2013-08-28,58.480000000000004,False
28,2013-08-29,56.440000000000005,False
29,2013-08-30,55.760000000000005,False
30,2013-08-31,57.800000000000004,False
0,2013-09-01,54.51,False
1,2013-09-02,66.92999999999999,False
2,2013-09-03,60.72,False
3,2013-09-04,63.48,False
4,2013-09-05,64.17,False
5,2013-09-06,62.78999999999999,False
6,2013-09-07,57.269999999999996,False
7,2013-09-08,59.339999999999996,False
8,2013-09-09,64.86,False
9,2013-09-10,63.48,False
10,2013-09-11,62.78999999999999,False
11,2013-09-12,64.17,False
12,2013-09-13,65.55,False
13,2013-09-14,60.72,False
14,2013-09-15,57.269999999999996,False
15,2013-09-16,62.78999999999999,False
16,2013-09-17,60.029999999999994,False
17,2013-09-18,59.339999999999996,False
18,2013-09-19,62.78999999999999,False
19,2013-09-20,63.48,False
20,2013-09-21,62.78999999999999,False
21,2013-09-22,60.029999999999994,False
22,2013-09-23,65.55,False
23,2013-09-24,67.61999999999999,False
24,2013-09-25,63.48,False
25,2013-09-26,69.0,False
26,2013-09-27,61.41,False
27,2013-09-28,64.17,False
28,2013-09-29,58.65,False
29,2013-09-30,65.55,False
0,2013-10-01,48.839999999999996,False
1,2013-10-02,48.839999999999996,False
2,2013-10-03,46.62,False
3,2013-10-04,47.36,False
4,2013-10-05,45.14,False
5,2013-10-06,50.32,False
6,2013-10-07,47.36,False
7,2013-10-08,50.32,False
8,2013-10-09,46.62,False
9,2013-10-10,50.32,False
10,2013-10-11,52.54,False
11,2013-10-12,51.06,False
12,2013-10-13,48.1,False
13,2013-10-14,42.92,False
14,2013-10-15,47.36,False
15,2013-10-16,48.1,False
16,2013-10-17,47.36,False
17,2013-10-18,46.62,False
18,2013-10-19,46.62,False
19,2013-10-20,48.1,False
20,2013-10-21,47.36,False
21,2013-10-22,45.14,False
22,2013-10-23,49.58,False
23,2013-10-24,47.36,False
24,2013-10-25,51.8,False
25,2013-10-26,42.92,False
26,2013-10-27,50.32,False
27,2013-10-28,53.28,False
28,2013-10-29,74.0,False
29,2013-10-30,55.5,False
30,2013-10-31,48.1,False
0,2013-11-01,62.78,False
1,2013-11-02,59.129999999999995,False
2,2013-11-03,57.67,False
3,2013-11-04,62.05,False
4,2013-11-05,67.16,False
5,2013-11-06,62.05,False
6,2013-11-07,68.62,False
7,2013-11-08,64.24,False
8,2013-11-09,61.32,False
9,2013-11-10,57.67,False
10,2013-11-11,64.24,False
11,2013-11-12,61.32,False
12,2013-11-13,66.42999999999999,False
13,2013-11-14,62.78,False
14,2013-11-15,67.89,False
15,2013-11-16,56.94,False
16,2013-11-17,65.7,False
17,2013-11-18,66.42999999999999,False
18,2013-11-19,59.129999999999995,False
19,2013-11-20,66.42999999999999,False
20,2013-11-21,66.42999999999999,False
21,2013-11-22,61.32,False
22,2013-11-23,57.67,False
23,2013-11-24,59.86,False
24,2013-11-25,63.51,False
25,2013-11-26,64.24,False
26,2013-11-27,62.78,False
27,2013-11-28,73.0,False
28,2013-11-29,70.08,False
29,2013-11-30,61.32,False
0,2013-12-01,69.58,False
1,2013-12-02,67.45,False
2,2013-12-03,70.28999999999999,False
3,2013-12-04,69.58,False
4,2013-12-05,64.61,False
5,2013-12-06,67.45,False
6,2013-12-07,62.48,False
7,2013-12-08,60.349999999999994,False
8,2013-12-09,71.0,False
9,2013-12-10,71.0,False
10,2013-12-11,65.32,False
11,2013-12-12,71.0,False
12,2013-12-13,67.45,False
13,2013-12-14,67.45,False
14,2013-12-15,66.74,False
15,2013-12-16,68.16,False
16,2013-12-17,61.769999999999996,False
17,2013-12-18,58.22,False
18,2013-12-19,62.48,False
19,2013-12-20,66.74,False
20,2013-12-21,63.19,False
21,2013-12-22,63.19,False
22,2013-12-23,63.9,False
23,2013-12-24,63.19,False
24,2013-12-25,64.61,False
25,2013-12-26,58.93,False
26,2013-12-27,63.9,False
27,2013-12-28,56.089999999999996,False
28,2013-12-29,57.51,False
29,2013-12-30,57.51,False
30,2013-12-31,59.64,False
0,2014-01-01,58.22,False
1,2014-01-02,67.45,False
2,2014-01-03,62.48,False
3,2014-01-04,66.03,False
4,2014-01-05,58.22,False
5,2014-01-06,66.03,False
6,2014-01-07,57.51,False
7,2014-01-08,59.64,False
8,2014-01-09,66.03,False
9,2014-01-10,63.9,False
10,2014-01-11,61.769999999999996,False
11,2014-01-12,63.9,False
12,2014-01-13,64.61,False
13,2014-01-14,65.32,False
14,2014-01-15,61.059999999999995,False
15,2014-01-16,63.19,False
16,2014-01-17,69.58,False
17,2014-01-18,67.45,False
18,2014-01-19,58.22,False
19,2014-01-20,55.379999999999995,False
20,2014-01-21,64.61,False
21,2014-01-22,60.349999999999994,False
22,2014-01-23,71.0,False
23,2014-01-24,63.9,False
24,2014-01-25,63.19,False
25,2014-01-26,61.769999999999996,False
26,2014-01-27,63.9,False
27,2014-01-28,63.9,False
28,2014-01-29,61.059999999999995,False
29,2014-01-30,64.61,False
30,2014-01-31,63.9,False
0,2014-02-01,65.7,False
1,2014-02-02,62.78,False
2,2014-02-03,67.16,False
3,2014-02-04,69.35,False
4,2014-02-05,65.7,False
5,2014-02-06,73.0,False
6,2014-02-07,71.53999999999999,False
7,2014-02-08,60.589999999999996,False
8,2014-02-09,64.97,False
9,2014-02-10,68.62,False
10,2014-02-11,69.35,False
11,2014-02-12,70.08,False
12,2014-02-13,64.97,False
13,2014-02-14,69.35,False
14,2014-02-15,66.42999999999999,False
15,2014-02-16,69.35,False
16,2014-02-17,65.7,False
17,2014-02-18,65.7,False
18,2014-02-19,67.16,False
19,2014-02-20,72.27,False
20,2014-02-21,67.16,False
21,2014-02-22,62.78,False
22,2014-02-23,66.42999999999999,False
23,2014-02-24,70.08,False
24,2014-02-25,72.27,False
25,2014-02-26,67.16,False
26,2014-02-27,70.81,False
27,2014-02-28,64.97,False
0,2014-03-01,59.129999999999995,False
1,2014-03-02,64.97,False
2,2014-03-03,67.16,False
3,2014-03-04,67.89,False
4,2014-03-05,68.62,False
5,2014-03-06,71.53999999999999,False
6,2014-03-07,69.35,False
7,2014-03-08,73.0,False
8,2014-03-09,64.24,False
9,2014-03-10,64.24,False
10,2014-03-11,67.89,False
11,2014-03-12,65.7,False
12,2014-03-13,68.62,False
13,2014-03-14,68.62,False
14,2014-03-15,63.51,False
15,2014-03-16,62.05,False
16,2014-03-17,69.35,False
17,2014-03-18,63.51,False
18,2014-03-19,71.53999999999999,False
19,2014-03-20,68.62,False
20,2014-03-21,70.08,False
21,2014-03-22,60.589999999999996,False
22,2014-03-23,65.7,False
23,2014-03-24,64.97,False
24,2014-03-25,68.62,False
25,2014-03-26,64.97,False
26,2014-03-27,70.81,False
27,2014-03-28,67.16,False
28,2014-03-29,61.32,False
29,2014-03-30,63.51,False
30,2014-03-31,64.24,False
0,2014-04-01,64.8,False
1,2014-04-02,66.24,False
2,2014-04-03,66.24,False
3,2014-04-04,60.48,False
4,2014-04-05,54.0,False
5,2014-04-06,64.08,False
6,2014-04-07,67.67999999999999,False
7,2014-04-08,61.919999999999995,False
8,2014-04-09,61.199999999999996,False
9,2014-04-10,66.96,False
10,2014-04-11,64.8,False
11,2014-04-12,61.919999999999995,False
12,2014-04-13,61.199999999999996,False
13,2014-04-14,67.67999999999999,False
14,2014-04-15,61.919999999999995,False
15,2014-04-16,72.0,False
16,2014-04-17,63.36,False
17,2014-04-18,64.8,False
18,2014-04-19,61.919999999999995,False
19,2014-04-20,61.199999999999996,False
20,2014-04-21,64.08,False
21,2014-04-22,63.36,False
22,2014-04-23,67.67999999999999,False
23,2014-04-24,59.76,False
24,2014-04-25,65.52,False
25,2014-04-26,63.36,False
26,2014-04-27,63.36,False
27,2014-04-28,65.52,False
28,2014-04-29,68.39999999999999,False
29,2014-04-30,71.28,False
0,2014-05-01,64.38,False
1,2014-05-02,60.68,False
2,2014-05-03,61.42,False
3,2014-05-04,59.2,False
4,2014-05-05,62.9,False
5,2014-05-06,74.0,False
6,2014-05-07,66.6,False
7,2014-05-08,68.82,False
8,2014-05-09,60.68,False
9,2014-05-10,60.68,False
10,2014-05-11,66.6,False
11,2014-05-12,57.72,False
12,2014-05-13,65.86,False
13,2014-05-14,69.56,False
14,2014-05-15,65.12,False
15,2014-05-16,64.38,False
16,2014-05-17,55.5,False
17,2014-05-18,62.16,False
