,date,FB,isPartial
4,2013-05-05,83.52,False
5,2013-05-06,70.47,False
6,2013-05-07,71.34,False
7,2013-05-08,72.21,False
8,2013-05-09,74.82,False
9,2013-05-10,74.82,False
10,2013-05-11,87.0,False
11,2013-05-12,84.39,False
12,2013-05-13,70.47,False
13,2013-05-14,71.34,False
14,2013-05-15,73.08,False
15,2013-05-16,69.6,False
16,2013-05-17,73.95,False
17,2013-05-18,86.13,False
18,2013-05-19,82.65,False
19,2013-05-20,72.21,False
20,2013-05-21,69.6,False
21,2013-05-22,71.34,False
22,2013-05-23,72.21,False
23,2013-05-24,73.08,False
24,2013-05-25,85.26,False
25,2013-05-26,81.78,False
26,2013-05-27,75.69,False
27,2013-05-28,72.21,False
28,2013-05-29,71.34,False
29,2013-05-30,73.95,False
30,2013-05-31,79.17,False
0,2013-06-01,84.39,False
1,2013-06-02,80.91,False
2,2013-06-03,71.34,False
3,2013-06-04,69.6,False
4,2013-06-05,74.82,False
5,2013-06-06,72.21,False
6,2013-06-07,75.69,False
7,2013-06-08,86.13,False
8,2013-06-09,82.65,False
9,2013-06-10,69.6,False
10,2013-06-11,67.86,False
11,2013-06-12,72.21,False
12,2013-06-13,72.21,False
13,2013-06-14,76.56,False
14,2013-06-15,87.0,False
15,2013-06-16,83.52,False
16,2013-06-17,72.21,False
17,2013-06-18,71.34,False
18,2013-06-19,73.95,False
19,2013-06-20,73.08,False
20,2013-06-21,73.95,False
21,2013-06-22,83.52,False
22,2013-06-23,82.65,False
23,2013-06-24,70.47,False
24,2013-06-25,72.21,False
25,2013-06-26,73.08,False
26,2013-06-27,73.95,False
27,2013-06-28,76.56,False
28,2013-06-29,85.26,False
29,2013-06-30,81.78,False
0,2013-07-01,74.82,False
1,2013-07-02,71.34,False
2,2013-07-03,73.95,False
3,2013-07-04,76.56,False
4,2013-07-05,76.56,False
5,2013-07-06,84.39,False
6,2013-07-07,84.39,False
7,2013-07-08,72.21,False
8,2013-07-09,73.08,False
9,2013-07-10,71.34,False
10,2013-07-11,72.21,False
11,2013-07-12,75.69,False
12,2013-07-13,83.52,False
13,2013-07-14,82.65,False
14,2013-07-15,71.34,False
15,2013-07-16,73.08,False
16,2013-07-17,71.34,False
17,2013-07-18,72.21,False
18,2013-07-19,75.69,False
19,2013-07-20,85.26,False
20,2013-07-21,87.0,False
21,2013-07-22,71.34,False
22,2013-07-23,72.21,False
23,2013-07-24,73.95,False
24,2013-07-25,74.82,False
25,2013-07-26,74.82,False
26,2013-07-27,87.0,False
27,2013-07-28,83.52,False
28,2013-07-29,71.34,False
29,2013-07-30,73.08,False
30,2013-07-31,74.82,False
0,2013-08-01,72.21,False
1,2013-08-02,76.56,False
2,2013-08-03,87.0,False
3,2013-08-04,87.0,False
4,2013-08-05,71.34,False
5,2013-08-06,71.34,False
6,2013-08-07,70.47,False
7,2013-08-08,66.12,False
8,2013-08-09,73.08,False
9,2013-08-10,82.65,False
10,2013-08-11,80.04,False
11,2013-08-12,71.34,False
12,2013-08-13,72.21,False
13,2013-08-14,73.08,False
14,2013-08-15,76.56,False
15,2013-08-16,75.69,False
16,2013-08-17,83.52,False
17,2013-08-18,83.52,False
18,2013-08-19,72.21,False
19,2013-08-20,70.47,False
20,2013-08-21,71.34,False
21,2013-08-22,72.21,False
22,2013-08-23,73.08,False
23,2013-08-24,84.39,False
24,2013-08-25,80.91,False
25,2013-08-26,70.47,False
26,2013-08-27,71.34,False
27,2013-08-28,70.47,False
28,2013-08-29,72.21,False
29,2013-08-30,73.95,False
30,2013-08-31,83.52,False
0,2013-09-01,84.28,False
1,2013-09-02,70.52,False
2,2013-09-03,67.94,False
3,2013-09-04,70.52,False
4,2013-09-05,68.8,False
5,2013-09-06,72.24,False
6,2013-09-07,85.14,False
7,2013-09-08,82.56,False
8,2013-09-09,69.66,False
9,2013-09-10,67.94,False
10,2013-09-11,68.8,False
11,2013-09-12,69.66,False
12,2013-09-13,72.24,False
13,2013-09-14,86.0,False
14,2013-09-15,79.98,False
15,2013-09-16,67.94,False
16,2013-09-17,69.66,False
17,2013-09-18,68.8,False
18,2013-09-19,68.8,False
19,2013-09-20,73.96,False
20,2013-09-21,83.42,False
