,date,NFLX,isPartial
5,2013-05-06,6.630000000000001,False
6,2013-05-07,9.350000000000001,False
7,2013-05-08,5.44,False
8,2013-05-09,11.05,False
9,2013-05-10,6.12,False
10,2013-05-11,3.4000000000000004,False
11,2013-05-12,2.5500000000000003,False
12,2013-05-13,12.07,False
13,2013-05-14,11.22,False
14,2013-05-15,10.88,False
15,2013-05-16,11.73,False
16,2013-05-17,10.71,False
17,2013-05-18,1.02,False
18,2013-05-19,2.5500000000000003,False
19,2013-05-20,5.61,False
20,2013-05-21,7.140000000000001,False
21,2013-05-22,6.800000000000001,False
22,2013-05-23,9.350000000000001,False
23,2013-05-24,6.29,False
24,2013-05-25,2.89,False
25,2013-05-26,1.53,False
26,2013-05-27,1.1900000000000002,False
27,2013-05-28,17.0,False
28,2013-05-29,12.58,False
29,2013-05-30,9.01,False
30,2013-05-31,7.99,False
0,2013-06-01,3.7199999999999998,False
1,2013-06-02,2.4,False
2,2013-06-03,5.52,False
3,2013-06-04,9.719999999999999,False
4,2013-06-05,6.84,False
5,2013-06-06,7.199999999999999,False
6,2013-06-07,7.56,False
7,2013-06-08,1.68,False
8,2013-06-09,1.08,False
9,2013-06-10,5.64,False
10,2013-06-11,6.4799999999999995,False
11,2013-06-12,3.7199999999999998,False
12,2013-06-13,9.12,False
13,2013-06-14,6.359999999999999,False
14,2013-06-15,3.0,False
15,2013-06-16,1.56,False
16,2013-06-17,11.52,False
17,2013-06-18,12.0,False
18,2013-06-19,8.16,False
19,2013-06-20,9.48,False
20,2013-06-21,7.8,False
21,2013-06-22,2.76,False
22,2013-06-23,1.68,False
23,2013-06-24,4.92,False
24,2013-06-25,8.4,False
25,2013-06-26,5.3999999999999995,False
26,2013-06-27,5.3999999999999995,False
27,2013-06-28,6.359999999999999,False
28,2013-06-29,1.92,False
29,2013-06-30,1.92,False
0,2013-07-01,3.57,False
1,2013-07-02,4.62,False
2,2013-07-03,2.52,False
3,2013-07-04,0.84,False
4,2013-07-05,3.9899999999999998,False
5,2013-07-06,1.05,False
6,2013-07-07,1.05,False
7,2013-07-08,4.62,False
8,2013-07-09,6.3,False
9,2013-07-10,6.09,False
10,2013-07-11,5.04,False
11,2013-07-12,8.4,False
12,2013-07-13,1.68,False
13,2013-07-14,1.05,False
14,2013-07-15,4.62,False
15,2013-07-16,5.88,False
16,2013-07-17,6.93,False
17,2013-07-18,7.35,False
18,2013-07-19,6.51,False
19,2013-07-20,2.31,False
20,2013-07-21,1.68,False
21,2013-07-22,19.11,False
22,2013-07-23,21.0,False
23,2013-07-24,8.19,False
24,2013-07-25,7.9799999999999995,False
25,2013-07-26,5.67,False
26,2013-07-27,1.05,False
27,2013-07-28,0.84,False
28,2013-07-29,4.62,False
