,date,QCOM,isPartial
15,2013-09-16,13.2,False
16,2013-09-17,14.399999999999999,False
17,2013-09-18,14.399999999999999,False
18,2013-09-19,16.56,False
19,2013-09-20,10.32,False
20,2013-09-21,4.56,False
21,2013-09-22,2.16,False
22,2013-09-23,12.48,False
23,2013-09-24,9.6,False
24,2013-09-25,19.2,False
25,2013-09-26,9.84,False
26,2013-09-27,10.08,False
27,2013-09-28,9.36,False
28,2013-09-29,5.52,False
29,2013-09-30,6.4799999999999995,False
0,2013-10-01,19.2,False
1,2013-10-02,16.8,False
2,2013-10-03,15.84,False
3,2013-10-04,24.0,False
4,2013-10-05,5.76,False
5,2013-10-06,4.08,False
6,2013-10-07,8.4,False
7,2013-10-08,12.0,False
8,2013-10-09,13.2,False
9,2013-10-10,19.439999999999998,False
10,2013-10-11,16.56,False
11,2013-10-12,0.0,False
12,2013-10-13,2.88,False
13,2013-10-14,4.8,False
14,2013-10-15,15.84,False
15,2013-10-16,15.84,False
16,2013-10-17,12.24,False
17,2013-10-18,10.32,False
18,2013-10-19,2.88,False
19,2013-10-20,1.44,False
20,2013-10-21,16.56,False
21,2013-10-22,18.96,False
22,2013-10-23,15.36,False
23,2013-10-24,8.64,False
24,2013-10-25,17.52,False
25,2013-10-26,8.64,False
26,2013-10-27,2.88,False
27,2013-10-28,15.12,False
28,2013-10-29,17.759999999999998,False
29,2013-10-30,10.799999999999999,False
30,2013-10-31,12.48,False
0,2013-11-01,21.080000000000002,False
1,2013-11-02,5.44,False
2,2013-11-03,2.72,False
3,2013-11-04,17.0,False
4,2013-11-05,12.58,False
5,2013-11-06,34.0,False
6,2013-11-07,28.900000000000002,False
7,2013-11-08,21.76,False
8,2013-11-09,1.36,False
9,2013-11-10,1.36,False
10,2013-11-11,19.380000000000003,False
11,2013-11-12,11.22,False
12,2013-11-13,18.02,False
13,2013-11-14,31.28,False
14,2013-11-15,19.040000000000003,False
15,2013-11-16,8.16,False
16,2013-11-17,5.1000000000000005,False
17,2013-11-18,26.180000000000003,False
18,2013-11-19,14.620000000000001,False
19,2013-11-20,28.220000000000002,False
20,2013-11-21,21.76,False
21,2013-11-22,23.8,False
22,2013-11-23,4.08,False
23,2013-11-24,5.1000000000000005,False
24,2013-11-25,15.64,False
25,2013-11-26,13.260000000000002,False
26,2013-11-27,29.580000000000002,False
27,2013-11-28,10.88,False
28,2013-11-29,18.02,False
29,2013-11-30,4.08,False
0,2013-12-01,3.74,False
1,2013-12-02,19.36,False
2,2013-12-03,17.38,False
3,2013-12-04,16.28,False
4,2013-12-05,13.64,False
5,2013-12-06,12.540000000000001,False
6,2013-12-07,3.3,False
7,2013-12-08,4.62,False
8,2013-12-09,13.64,False
9,2013-12-10,14.3,False
10,2013-12-11,12.540000000000001,False
11,2013-12-12,11.22,False
12,2013-12-13,22.0,False
13,2013-12-14,6.16,False
14,2013-12-15,3.96,False
15,2013-12-16,16.72,False
16,2013-12-17,16.94,False
17,2013-12-18,13.64,False
18,2013-12-19,16.94,False
19,2013-12-20,8.36,False
20,2013-12-21,9.9,False
21,2013-12-22,2.86,False
22,2013-12-23,17.16,False
23,2013-12-24,13.42,False
24,2013-12-25,3.96,False
25,2013-12-26,9.9,False
26,2013-12-27,10.12,False
27,2013-12-28,4.18,False
28,2013-12-29,4.84,False
29,2013-12-30,11.22,False
30,2013-12-31,7.04,False
0,2014-01-01,8.64,False
1,2014-01-02,10.260000000000002,False
2,2014-01-03,6.48,False
3,2014-01-04,2.43,False
4,2014-01-05,2.43,False
5,2014-01-06,11.34,False
6,2014-01-07,12.420000000000002,False
7,2014-01-08,10.260000000000002,False
8,2014-01-09,12.690000000000001,False
9,2014-01-10,9.450000000000001,False
10,2014-01-11,2.43,False
11,2014-01-12,2.97,False
12,2014-01-13,7.5600000000000005,False
13,2014-01-14,9.18,False
14,2014-01-15,14.31,False
15,2014-01-16,12.690000000000001,False
16,2014-01-17,7.290000000000001,False
17,2014-01-18,5.94,False
18,2014-01-19,2.7,False
19,2014-01-20,8.91,False
20,2014-01-21,13.5,False
21,2014-01-22,12.690000000000001,False
22,2014-01-23,14.31,False
23,2014-01-24,12.420000000000002,False
24,2014-01-25,6.48,False
25,2014-01-26,2.43,False
26,2014-01-27,15.120000000000001,False
27,2014-01-28,9.72,False
28,2014-01-29,19.44,False
29,2014-01-30,27.0,False
30,2014-01-31,12.15,False
0,2014-02-01,12.32,False
1,2014-02-02,5.32,False
2,2014-02-03,19.32,False
3,2014-02-04,28.000000000000004,False
4,2014-02-05,14.280000000000001,False
5,2014-02-06,10.64,False
6,2014-02-07,22.12,False
7,2014-02-08,10.64,False
8,2014-02-09,9.8,False
9,2014-02-10,19.32,False
10,2014-02-11,21.840000000000003,False
11,2014-02-12,23.8,False
12,2014-02-13,28.000000000000004,False
13,2014-02-14,25.200000000000003,False
14,2014-02-15,7.000000000000001,False
15,2014-02-16,8.4,False
16,2014-02-17,9.24,False
17,2014-02-18,16.8,False
18,2014-02-19,22.680000000000003,False
19,2014-02-20,16.520000000000003,False
20,2014-02-21,20.44,False
