,date,AMZN,isPartial
24,2012-12-25,2.52,False
25,2012-12-26,2.4,False
26,2012-12-27,6.0,False
27,2012-12-28,4.32,False
28,2012-12-29,3.12,False
29,2012-12-30,0.6,False
30,2012-12-31,3.1799999999999997,False
0,2013-01-01,0.9,False
1,2013-01-02,2.0,False
2,2013-01-03,2.6,False
3,2013-01-04,1.2000000000000002,False
4,2013-01-05,0.8,False
5,2013-01-06,0.30000000000000004,False
6,2013-01-07,2.6,False
7,2013-01-08,2.9000000000000004,False
8,2013-01-09,2.6,False
9,2013-01-10,1.5,False
10,2013-01-11,2.2,False
11,2013-01-12,0.7000000000000001,False
12,2013-01-13,0.8,False
13,2013-01-14,1.1,False
14,2013-01-15,2.2,False
15,2013-01-16,2.0,False
16,2013-01-17,2.1,False
17,2013-01-18,1.8,False
18,2013-01-19,1.2000000000000002,False
19,2013-01-20,0.30000000000000004,False
20,2013-01-21,1.1,False
21,2013-01-22,1.2000000000000002,False
22,2013-01-23,2.7,False
23,2013-01-24,2.3000000000000003,False
24,2013-01-25,4.0,False
25,2013-01-26,1.1,False
26,2013-01-27,0.8,False
27,2013-01-28,2.9000000000000004,False
28,2013-01-29,8.8,False
29,2013-01-30,10.0,False
30,2013-01-31,3.0,False
0,2013-02-01,7.000000000000001,False
1,2013-02-02,2.45,False
2,2013-02-03,2.1700000000000004,False
3,2013-02-04,4.130000000000001,False
4,2013-02-05,3.6400000000000006,False
5,2013-02-06,4.970000000000001,False
6,2013-02-07,3.6400000000000006,False
7,2013-02-08,4.2700000000000005,False
8,2013-02-09,1.33,False
9,2013-02-10,1.1900000000000002,False
10,2013-02-11,3.5700000000000003,False
11,2013-02-12,4.41,False
12,2013-02-13,4.970000000000001,False
13,2013-02-14,3.1500000000000004,False
14,2013-02-15,4.2700000000000005,False
15,2013-02-16,1.2600000000000002,False
16,2013-02-17,1.2600000000000002,False
17,2013-02-18,1.8200000000000003,False
18,2013-02-19,3.1500000000000004,False
19,2013-02-20,3.6400000000000006,False
20,2013-02-21,3.5000000000000004,False
21,2013-02-22,3.43,False
22,2013-02-23,1.2600000000000002,False
23,2013-02-24,0.42000000000000004,False
24,2013-02-25,2.31,False
25,2013-02-26,3.2900000000000005,False
26,2013-02-27,3.3600000000000003,False
27,2013-02-28,2.31,False
0,2013-03-01,3.54,False
1,2013-03-02,1.74,False
2,2013-03-03,1.74,False
3,2013-03-04,2.94,False
4,2013-03-05,5.46,False
5,2013-03-06,6.0,False
6,2013-03-07,3.84,False
7,2013-03-08,4.08,False
8,2013-03-09,2.2199999999999998,False
9,2013-03-10,1.74,False
